ECOSYSTEM MEANING;ECOSYSTEM VALUES;;NHRL MEANING;NHRL VALUES
"""low_buildings""";1110;;"""single-floor_buildings""";111
"""high_buildings""";1120;;"""high_buildings""";112
"""paved_roads""";1210;;"""other_paved_or_non-paved_artificial_surfaces""";12
"""dirt_roads""";1220;;"""road_network""";13
"""railways""";1230;;"""railway_network""";14
"""other_paved_or_non-paved_artificial_areas""";1310;;"""bare_soil""";20
"""green_urban_areas_with_trees""";1410;;"""cereals""";21
"""green_urban_areas_without_trees""";1420;;"""row_crops""";22
"""arable_land""";2100;;"""alfalfa""";24
"""vineyards""";2210;;"""rapeseed""";25
"""fruit_and_berry_and_other_plantations""";2220;;"""grasslands""";26
"""energy_crops""";2230;;"""orchards""";27
"""complex_cultivation_patterns_with_scattered_buildings""";2310;;"""vineyards""";28
"""complex_cultivation_patterns_without_buildings""";2320;;"""heterogeneous_vegetated_surfaces_in_built-up_environment""";29
"""open_sand_steppes""";3110;;"""shrubland""";30
"""closed_sand_steppes""";3120;;"""broadleaved_trees""";31
"""salt_steppes_and_meadows_(grasslands_affected_by_salinisation_included)""";3200;;"""coniferous_trees""";33
"""calcareous_open_rocky_grasslands""";3310;;"""grasslands_with_shrubs""";35
"""siliceous_open_rocky_grasslands""";3320;;"""heterogeneous_grassland_with_periodic_water_effect""";36
"""closed_grasslands_in_hills_and_mountains_or_on_cohesive_soil""";3400;;"""salt_steppes_and_meadows""";37
"""other_herbaceous_vegetation""";3500;;"""wetlands""";41
"""beech_forests""";4101;;"""reeds""";43
"""sessile_oak-hornbeam_forests""";4102;;"""water_surfaces""";51
"""turkey_oak_forests""";4103;;;
"""downy_oak_forests""";4104;;;
"""scots_pine_stands_of_western_transdanubia""";4105;;;
"""deciduous_stands_of_western_transdanubia_mixed_with_scots_pine""";4106;;;
"""native_poplar_dominated_forests""";4107;;;
"""pioneer_forests_of_hilly_and_mountainous_regions""";4108;;;
"""pedunculate_oak-hornbeam_forests""";4109;;;
"""pedunculate_oak_forests_monospecific_or_mixed_with_ash""";4110;;;
"""forests_dominated_by_other_native_tree_species""";4111;;;
"""other_mixed_deciduous_forests""";4112;;;
"""riverine_willow-poplar_woodlands""";4201;;;
"""riverine_hardwood_forests""";4202;;;
"""pedunculate_oak_forests_monospecific_or_mixed_with_ash""";4301;;;
"""alder_forests""";4302;;;
"""pedunculate_oak-hornbeam_forests_(with_excess_water)""";4303;;;
"""willow_woods_outside_the_floodplain""";4304;;;
"""poplar_woods_outside_the_floodplain""";4305;;;
"""birch_woodland""";4306;;;
"""turkey_oak_forests_with_excess_water""";4307;;;
"""forests_dominated_by_other_native_tree_species_with_excess_water""";4308;;;
"""other_mixed_deciduous_forests_with_excess_water""";4309;;;
"""conifer-dominated_plantations""";4401;;;
"""black_locust-dominated_mixed_plantations""";4402;;;
"""plantations_dominated_by_non-native_poplar_and_willow_species""";4403;;;
"""plantations_of_other_non-native_tree_species""";4404;;;
"""clearcut""";4501;;;
"""forest_stand_under_regeneration""";4502;;;
"""other_ligneous_vegetation_woodlands""";4600;;;
"""tall-herb_vegetation_of_marshes_and_fens_standing_in_water""";5110;;;
"""fens_and_mesotrophic_wet_meadows_grasslands_with_periodic_water_effect""";5120;;;
"""swamp_woodlands""";5200;;;
"""water_bodies""";6100;;;
"""water_courses""";6200;;;
